Year,Month,Indicator,Value,Unit,Remarks,z_score,anomaly_flag
2016,Jan,Energy Consumption (GRI 302),10149.0,kWh,Normal production fluctuation,-0.4114731224584433,Normal
2016,Feb,Energy Consumption (GRI 302),9929.8,kWh,Normal production fluctuation,-0.47211748875421716,Normal
2016,Mar,Energy Consumption (GRI 302),19511.02069867291,kWh,ANOMALY – abnormal spike detected,2.178644635383413,High Anomaly
2016,Apr,Energy Consumption (GRI 302),10072.6,kWh,Normal production fluctuation,-0.4326101187403643,Normal
2016,May,Energy Consumption (GRI 302),9696.2,kWh,Normal production fluctuation,-0.5367457915219755,Normal
2016,Jun,Energy Consumption (GRI 302),10439.7,kWh,Normal production fluctuation,-0.33104740493024326,Normal
2016,Jul,Energy Consumption (GRI 302),9836.7,kWh,Normal production fluctuation,-0.4978747446946206,Normal
2016,Aug,Energy Consumption (GRI 302),9819.8,kWh,Normal production fluctuation,-0.5025503368041035,Normal
2016,Sep,Energy Consumption (GRI 302),9996.0,kWh,Normal production fluctuation,-0.4538024474732853,Normal
2016,Oct,Energy Consumption (GRI 302),10062.7,kWh,Normal production fluctuation,-0.435349075064854,Normal
2016,Nov,Energy Consumption (GRI 302),10221.5,kWh,Normal production fluctuation,-0.39141510897101817,Normal
2016,Dec,Energy Consumption (GRI 302),19900.29088895133,kWh,ANOMALY – abnormal spike detected,2.286341004029718,High Anomaly
