Year,Month,Indicator,Value,Unit,Remarks,z_score,anomaly_flag
2021,Jan,Energy Consumption (GRI 302),10149.0,kWh,Normal production fluctuation,-0.39929312949263296,Normal
2021,Feb,Energy Consumption (GRI 302),9929.8,kWh,Normal production fluctuation,-0.4510249328537547,Normal
2021,Mar,Energy Consumption (GRI 302),9859.2,kWh,Normal production fluctuation,-0.46768672718448057,Normal
2021,Apr,Energy Consumption (GRI 302),10072.6,kWh,Normal production fluctuation,-0.4173237397882063,Normal
2021,May,Energy Consumption (GRI 302),9696.2,kWh,Normal production fluctuation,-0.506155175851738,Normal
2021,Jun,Energy Consumption (GRI 302),10439.7,kWh,Normal production fluctuation,-0.33068712932348115,Normal
2021,Jul,Energy Consumption (GRI 302),9836.7,kWh,Normal production fluctuation,-0.47299678911707743,Normal
2021,Aug,Energy Consumption (GRI 302),9819.8,kWh,Normal production fluctuation,-0.47698523563533946,Normal
2021,Sep,Energy Consumption (GRI 302),20223.79923515909,kWh,ANOMALY – abnormal spike detected,1.9783872214928968,Warning
2021,Oct,Energy Consumption (GRI 302),22286.10444801511,kWh,ANOMALY – abnormal spike detected,2.465096928345468,High Anomaly
2021,Nov,Energy Consumption (GRI 302),10221.5,kWh,Normal production fluctuation,-0.38218292993204306,Normal
2021,Dec,Energy Consumption (GRI 302),9556.4,kWh,Normal production fluctuation,-0.5391483606596068,Normal
